source_file,battery_id,start_time,ambient_temperature,max_voltage,min_voltage,avg_current,avg_temp,cycle_duration,capacity,charge_duration,max_temp_charge,initial_capacity,SoH,cycle_number,RUL,voltage_range,capacity_fade_rate,anomaly
05174.csv,B0005,[2.0080e+03 4.0000e+00 1.9000e+01 1.3000e+01 1.0000e+00 4.2562e+01],24,4.187344026387161,2.694074478000972,-1.883193546754683,31.98795810666763,3492.907,1.825780747577624,0.0,0.0,1.8564874208181568,98.34597999985368,1,167,1.493269548386189,0.0,1
05122.csv,B0005,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],24,4.191491807505295,2.612467347907089,-1.8187019641679727,32.572328114029,3690.234,1.8564874208181568,0.0,0.0,1.8564874208181568,100.0,2,166,1.5790244595982057,0.0168183793597742,1
05124.csv,B0005,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],24,4.189773213846608,2.587208728940726,-1.817559850661287,32.72523522519307,3672.344,1.846327249719927,0.0,0.0,1.8564874208181568,99.45272071416716,3,165,1.6025644849058818,0.0054727928583282,1
05214.csv,B0005,[2.0080e+03 4.0000e+00 2.3000e+01 1.0000e+00 1.8000e+01 1.1796e+01],24,4.199853323702163,2.654880745360911,-1.929300528480541,31.849792632896243,3395.219,1.8199041089501269,0.0,0.0,1.8564874208181568,98.0294338944722,4,164,1.5449725783412518,0.0143111903774416,1
05230.csv,B0005,[2.0080e+03 4.0000e+00 2.3000e+01 2.1000e+01 2.0000e+00 5.8296e+01],24,4.1991847248803165,2.697942608427116,-1.917014964043808,31.649024294808623,3358.719,1.7884432335370462,0.0,0.0,1.8564874208181568,96.33478867036312,5,163,1.5012421164532004,0.0172871060944139,1
05260.csv,B0005,[2.0080e+03 4.0000e+00 2.6000e+01 1.0000e+00 4.0000e+00 3.5718e+01],24,4.1990980807180325,2.6603527244917,-1.9151304155635367,31.41911167391793,3293.172,1.7517304870664143,0.0,0.0,1.8564874208181568,94.3572505486961,6,162,1.5387453562263325,0.0205277672683097,1
05282.csv,B0005,[2.0080e+03 4.0000e+00 3.0000e+01 2.0000e+00 4.3000e+01 5.5312e+01],24,4.19902365945384,2.6309416727017187,-1.9261308349663744,32.28423408691397,3283.563,1.7570177850353066,0.0,0.0,1.8564874208181568,94.64205172265515,7,161,1.5680819867521216,0.0030183284517395,1
05138.csv,B0005,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01],24,4.189029250882121,2.603858472633368,-1.853972745505648,32.3461408313,3550.594,1.8247738529891333,0.0,0.0,1.8564874208181568,98.29174345738107,8,160,1.5851707782487532,0.0385631087692519,1
05147.csv,B0005,[2.0080e+03 4.0000e+00 4.0000e+00 2.2000e+01 1.0000e+00 5.4671e+01],24,4.189286794768804,2.5724981777366227,-1.8826095043160835,32.3181954403762,3470.281,1.8137521577549047,0.0,0.0,1.8564874208181568,97.69805803238792,9,159,1.616788617032181,0.0060400335176734,1
05149.csv,B0005,[2.0080e+03 4.0000e+00 5.0000e+00 2.0000e+00 2.0000e+01 2.6703e+01],24,4.188837765892728,2.5249886697730286,-1.8825367876363648,32.15709029211502,3470.0,1.8134404914735824,0.0,0.0,1.8564874208181568,97.6812700769282,10,158,1.6638490961196997,0.0001718350988527,1
05310.csv,B0005,[2.0080e+03 5.0000e+00 1.0000e+00 1.3000e+01 1.4000e+01 2.4875e+01],24,4.19916986492694,2.643236235233877,-1.8964907679062355,32.21689335291319,3240.14,1.706014499648521,0.0,0.0,1.8564874208181568,91.89475137389717,11,157,1.555933629693063,0.0592387742140732,1
05314.csv,B0005,[2.0080e+03 5.0000e+00 1.0000e+00 1.8000e+01 1.1000e+01 1.0984e+01],24,4.199246833083063,2.656450207001938,-1.895971437908019,32.55632993697177,3230.109,1.7003110272642588,0.0,0.0,1.8564874208181568,91.58753289666404,12,156,1.5427966260811248,0.0033431558673371,1
05318.csv,B0005,[2.0080e+03 5.0000e+00 1.0000e+00 2.3000e+01 1.0000e+01 1.5265e+01],24,4.19925518864016,2.626177688152069,-1.889964879983928,32.40048085325998,3229.7810000000027,1.6945798601797897,0.0,0.0,1.8564874208181568,91.27882263985316,13,155,1.5730775004880917,0.0033706580693594,1
05460.csv,B0005,[2.0080e+03 5.0000e+00 1.1000e+01 2.0000e+00 5.0000e+00 2.1796e+01],24,4.197739340034368,2.656849703962618,-1.7893518988259458,33.03772281691292,3039.047,1.5065638960681105,0.0,0.0,1.8564874208181568,81.15131183620761,14,154,1.54088963607175,0.1109513741605139,1
05480.csv,B0005,[2.0080e+03 5.0000e+00 1.2000e+01 2.0000e+00 3.6000e+01 5.8921e+01],24,4.197717228550219,2.690162319231471,-1.773860289771637,33.130681310493344,3002.641,1.4752095869031632,0.0,0.0,1.8564874208181568,79.46240682056634,15,153,1.5075549093187477,0.0208118017740748,1
05557.csv,B0005,[2.0080e+03 5.0000e+00 1.7000e+01 2.0000e+00 3.2000e+01 1.3968e+01],24,4.196925753814179,2.6936969083341418,-1.742762839332656,33.75168100943646,2937.625,1.4173547174485526,0.0,0.0,1.8564874208181568,76.34604477007025,16,152,1.5032288454800375,0.0392180677025442,1
05334.csv,B0005,[2.0080e+03 5.0000e+00 2.0000e+00 1.9000e+01 7.0000e+00 4.8359e+01],24,4.197785116892181,2.6857210282450983,-1.876359921441716,32.30899951427638,3195.125,1.663716375981405,0.0,0.0,1.8564874208181568,89.61635599169333,17,151,1.5120640886470826,0.1738179268040536,1
05336.csv,B0005,[2.0080e+03 5.0000e+00 2.0000e+00 2.3000e+01 2.4000e+01 1.7687e+01],24,4.201331130571617,2.69017866510873,-1.870955026010444,32.56636929496717,3195.312999999994,1.659013868748246,0.0,0.0,1.8564874208181568,89.36305466681354,18,150,1.5111524654628874,0.0028265077515902,1
05322.csv,B0005,[2.0080e+03 5.0000e+00 2.0000e+00 3.0000e+00 5.3000e+01 3.4765e+01],24,4.199610827671791,2.6582230344240045,-1.889370382442051,32.29371860868794,3212.469,1.6849029086609286,0.0,0.0,1.8564874208181568,90.7575720560708,19,149,1.5413877932477869,0.0156050774501459,1
05326.csv,B0005,[2.0080e+03 5.0000e+00 2.0000e+00 8.0000e+00 4.4000e+01 4.0859e+01],24,4.1994453812630566,2.695100237338448,-1.8776883243431417,32.1360714480678,3213.219,1.6744741591159715,0.0,0.0,1.8564874208181568,90.19582574806935,20,148,1.5043451439246085,0.0061895255158918,1
05605.csv,B0005,[2.0080e+03 5.0000e+00 2.0000e+01 1.0000e+00 1.6000e+01 4.2609e+01],24,4.1981749992980655,2.697334371630628,-1.712021613408506,33.7353756996425,2891.703,1.369850003583894,0.0,0.0,1.8564874208181568,73.78719555127388,21,147,1.5008406276674373,0.1819222792263942,1
05625.csv,B0005,[2.0080e+03 5.0000e+00 2.1000e+01 1.0000e+00 3.9000e+01 3.8968e+01],24,4.196258226051591,2.644725254926797,-1.7023383270190764,33.67308060941856,2864.984,1.349314997503458,0.0,0.0,1.8564874208181568,72.681074074222,22,146,1.5515329711247938,0.0149906968111187,1
05645.csv,B0005,[2.0080e+03 5.0000e+00 2.2000e+01 1.0000e+00 4.2000e+01 5.9218e+01],24,4.195534582569042,2.649019812683856,-1.6869434054016963,33.3945201718652,2847.36,1.3286444309174914,0.0,0.0,1.8564874208181568,71.567650608263,23,145,1.5465147698851864,0.0153193039610556,1
05672.csv,B0005,[2.0080e+03 5.0000e+00 2.4000e+01 1.0000e+00 9.0000e+00 2.1562e+01],24,4.195703567262997,2.674198661305034,-1.7007216920098716,33.491363029025784,2846.39,1.3395306867947354,0.0,0.0,1.8564874208181568,72.15404057003533,24,144,1.5215049059579635,0.0081935058198576,1
05692.csv,B0005,[2.0080e+03 5.0000e+00 2.5000e+01 1.0000e+00 6.0000e+00 4.9828e+01],24,4.196349384378125,2.664695973142795,-1.6839115230941766,33.236115055926255,2819.437,1.3132020634442203,0.0,0.0,1.8564874208181568,70.73584494666224,25,143,1.5316534112353306,0.0196551102636662,1
05390.csv,B0005,[2.0080e+03 5.0000e+00 6.0000e+00 1.0000e+00 3.8000e+01 4.6265e+01],24,4.198150316653697,2.6892528956736257,-1.829798505957538,32.31731555011648,3103.828,1.5747301747801037,0.0,0.0,1.8564874208181568,84.82309964083234,26,142,1.5088974209800714,0.1991529853752716,1
05418.csv,B0005,[2.0080e+03 5.0000e+00 7.0000e+00 1.2000e+01 1.0000e+00 4.9906e+01],24,4.197669918520713,2.682380966742509,-1.8026537331443493,32.379859014262976,3058.157,1.527914258251028,0.0,0.0,1.8564874208181568,82.30135260370758,27,141,1.5152889517782042,0.0297294846309864,1
05410.csv,B0005,[2.0080e+03 5.0000e+00 7.0000e+00 2.0000e+00 1.7000e+01 2.5156e+01],24,4.1980467610750285,2.629782173759164,-1.8110297241968545,32.857549597381336,3085.625,1.5488741079890418,0.0,0.0,1.8564874208181568,83.43035835418969,28,140,1.5682645873158645,0.0137179489129228,1
05430.csv,B0005,[2.0080e+03 5.0000e+00 8.0000e+00 2.0000e+00 5.3000e+01 4.9937e+01],24,4.198164128530042,2.695787450704935,-1.7959771394311954,33.045397072111655,3049.328,1.5174859938489869,0.0,0.0,1.8564874208181568,81.73963242800905,29,139,1.502376677825107,0.0202651164340317,1
05202.csv,B0005,[2.008e+03 4.000e+00 2.100e+01 2.000e+00 1.500e+01 2.921e+00],24,4.187667484260542,2.541762355407921,-1.9130621638638965,31.603485399391182,3392.719,1.804077040117352,0.0,0.0,1.8564874208181568,97.1769062309236,30,138,1.645905128852621,0.1888591047495924,1
05222.csv,B0005,[2.008e+03 4.000e+00 2.300e+01 1.100e+01 8.000e+00 3.120e-01],24,4.199998536865001,2.6159705726789904,-1.9284469980320087,31.40934895665032,3368.187,1.80460990458052,0.0,0.0,1.8564874208181568,97.20560906279805,31,137,1.5840279641860109,0.000295366800485,1
05234.csv,B0005,[2.008e+03 4.000e+00 2.400e+01 1.000e+00 5.100e+01 3.389e+01],24,4.200012480335,2.6617272246516333,-1.922048805055383,31.48874626238971,3339.5,1.7829230484252725,0.0,0.0,1.8564874208181568,96.03744299218228,32,136,1.538285255683367,0.0120174759654156,1
05238.csv,B0005,[2.008e+03 4.000e+00 2.400e+01 6.000e+00 5.000e+01 3.100e-02],24,4.1992373656547874,2.699288287625812,-1.916230282154988,31.329995610092634,3331.265,1.7730337158018288,0.0,0.0,1.8564874208181568,95.50475246530084,33,135,1.4999490780289753,0.0055466962705867,1
05126.csv,B0005,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],24,4.188186735991303,2.65191689384378,-1.816486541884096,32.64286193755933,3651.641,1.835349194223408,0.0,0.0,1.8564874208181568,98.8613859508171,34,134,1.5362698421475236,0.035146245593755,1
05151.csv,B0005,[2.008e+03 4.000e+00 5.000e+00 6.000e+00 2.500e+01 1.890e+00],24,4.189110301768517,2.694621861688723,-1.8817935155260213,32.044070003146096,3450.297,1.8025980036306504,0.0,0.0,1.8564874208181568,97.0972376875165,35,133,1.494488440079794,0.0178446644899177,1
